Id;Nombre;Porcentaje_completado;Duración;Comienzo;Fin;Predecesoras;Nombres_de_los_recursos;Nivel_de_esquema
1;PRUEBA IDIOMA;0%;31.63 días;lun 5/22/17;mar 7/4/17;;;1
2;Milestones;0%;0 días;lun 5/29/17;lun 5/29/17;;;2
3;Llegada de equipos;0%;0 horas;lun 5/29/17;lun 5/29/17;;Comstor;3
4;Planeación;0%;2.63 días;lun 5/22/17;mié 5/24/17;;;2
5;Kick Off;0%;1 hora;lun 5/22/17;lun 5/22/17;;DV,EH,Vinoteca;3
6;Elaboración de Plan de trabajo;0%;2 horas;mar 5/23/17;mar 5/23/17;;DV;3
7;Plan de comunicaciones;0%;1 hora;mié 5/24/17;mié 5/24/17;;DV;3
8;Planeación interna   (alta de sistemas, revisión de riesgos, etc);0%;4 horas;mié 5/24/17;mié 5/24/17;7;;3
9;Ejecución;0%;21.75 días;mar 5/30/17;mié 6/28/17;;;2
10;Instalacion equipos en Rack (switches Nexus y UCS mini);0%;9 horas;mar 5/30/17;mié 5/31/17;;EH;3
11;Cableado y energizado de equipos;0%;9 horas;mié 5/31/17;jue 6/1/17;10;EH;3
12;Configuración UCS mini;0%;27 horas;jue 6/1/17;mar 6/6/17;11;EH;3
13;Configuración Switches Nexus 3524x;0%;18 horas;mar 6/6/17;jue 6/8/17;12;EH;3
14;Integración de Infraestructura a la red de cliente;0%;9 horas;jue 6/8/17;vie 6/9/17;13;EH;3
15;Instalación NetApp;0%;18 horas;lun 6/12/17;mié 6/14/17;14;Ing Netapp;3
16;Integración UCS con NetApp;0%;9 horas;mié 6/14/17;jue 6/15/17;15;EH;3
17;Instalación Oracle;0%;1 día;jue 6/15/17;vie 6/16/17;16;EH;3
18;Instalacion VMWare en servidores UCS;0%;9 horas;vie 6/16/17;lun 6/19/17;17;EH;3
19;Migracion servidores físicos a virtual;0%;58 horas;lun 6/19/17;mié 6/28/17;18;EH;3
20;Cierre;0%;2.88 días;jue 6/29/17;mar 7/4/17;;;2
21;Transferencia de conocimientos;0%;2 horas;jue 6/29/17;jue 6/29/17;19FC+1 día;EH;3
22;Memoria Tecnica;0%;18 horas;vie 6/30/17;mar 7/4/17;21;EH;3
23;Transferencia a Soporte;0%;1 hora;mar 7/4/17;mar 7/4/17;22;EH;3
24;Junta de Cierre;0%;2 horas;mar 7/4/17;mar 7/4/17;23;EH,DV,Vinoteca;3
